time_s,lox_mass_flow_rate_kg_s,ipa_mass_flow_rate_kg_s
1777067585.391064,,
1777067585.391080,,
1777067585.391090,,
1777067585.391099,,
1777067585.391107,,
1777067585.391115,,
1777067585.391123,,
1777067586.390742,,
1777067586.390751,,
1777067586.390754,,
1777067586.391588,1.793312,
1777067586.391592,1.793312,
1777067586.391595,1.793312,
1777067586.391600,1.793312,
1777067587.395100,1.793312,
1777067587.395108,1.793312,
1777067587.395113,1.793312,
1777067587.395119,1.795560,
1777067587.395124,1.795560,
1777067587.395128,1.795560,
1777067587.396103,1.795560,
1777067588.396038,1.795560,
1777067588.396052,1.795560,
1777067588.396059,1.795560,
1777067588.396066,1.797356,
1777067588.396072,1.797356,
1777067588.396423,1.797356,
1777067588.396455,1.797356,
1777067589.398938,1.797356,
1777067589.398944,1.797356,
1777067589.400907,1.797356,
1777067589.400915,1.797805,
1777067589.400921,1.797805,
1777067589.400930,1.797805,
1777067589.400936,1.797805,
1777067590.399371,1.797805,
1777067590.399386,1.797805,
1777067590.399395,1.797805,
1777067590.400421,1.797805,
1777067590.400436,1.797805,
1777067590.400449,1.797805,
1777067590.400459,1.797805,
1777067591.400950,1.797805,
1777067591.400960,1.797805,
1777067591.400969,1.797805,
1777067591.400979,1.791511,
1777067591.400986,1.791511,
1777067591.400993,1.791511,
1777067591.401000,1.791511,
1777067592.400312,1.791511,
1777067592.400320,1.791511,
1777067592.402321,1.791511,
1777067592.402335,1.791061,
1777067592.402345,1.791061,
1777067592.402355,1.791061,
1777067592.402364,1.791061,
1777067593.400713,1.791061,
1777067593.400720,1.791061,
1777067593.400724,1.791061,
1777067593.400728,1.794661,
1777067593.401671,1.794661,
1777067593.401694,1.794661,
1777067593.401699,1.794661,
1777067594.401212,1.794661,
1777067594.401226,1.794661,
1777067594.401239,1.794661,
1777067594.401247,1.792862,
1777067594.401255,1.792862,
1777067594.403143,1.792862,
1777067594.403153,1.792862,
1777067595.402701,1.792862,
1777067595.402710,1.792862,
1777067595.402714,1.792862,
1777067595.402717,1.793312,
1777067595.402722,1.793312,
1777067595.402725,1.793312,
1777067595.402730,1.793312,
1777067596.403078,1.793312,
1777067596.403084,1.793312,
1777067596.404036,1.793312,
1777067596.404041,1.793762,
1777067596.404046,1.793762,
1777067596.404050,1.793762,
1777067596.404054,1.793762,
1777067597.406774,1.793762,
1777067597.406790,1.793762,
1777067597.406800,1.793762,
1777067597.407606,1.796458,
1777067597.407620,1.796458,
1777067597.407631,1.796458,
1777067597.407657,1.796458,
1777067598.410289,1.796458,
1777067598.410304,1.796458,
1777067598.410316,1.796458,
1777067598.410326,1.791511,
1777067598.410335,1.791511,
1777067598.410343,1.791511,
1777067598.411141,1.791511,
1777067599.413611,1.791511,
1777067599.413621,1.791511,
1777067599.413628,1.791511,
1777067599.414584,1.791962,
1777067599.414599,1.791962,
1777067599.414610,1.791962,
1777067599.414619,1.791962,
1777067600.415260,1.791962,
1777067600.415270,1.791962,
1777067600.415275,1.791962,
1777067600.415282,1.795560,
1777067600.415305,1.795560,
1777067600.415316,1.795560,
1777067600.415322,1.795560,
1777067601.414848,1.795560,
1777067601.414864,1.795560,
1777067601.414873,1.795560,
1777067601.414891,1.792862,
1777067601.414900,1.792862,
1777067601.414911,1.792862,
1777067601.414919,1.792862,
1777067602.414207,1.792862,
1777067602.415094,1.792862,
1777067602.415108,1.792862,
1777067602.415118,1.790160,
1777067602.415128,1.790160,
1777067602.415136,1.790160,
1777067602.415145,1.790160,
1777067603.416681,1.790160,
1777067603.416699,1.790160,
1777067603.416711,1.790160,
1777067603.416722,1.795560,
1777067603.416731,1.795560,
1777067603.418531,1.795560,
1777067603.418546,1.795560,
1777067604.417014,1.795560,
1777067604.417033,1.795560,
1777067604.417039,1.795560,
1777067604.417043,1.796908,
1777067604.417046,1.796908,
1777067604.417050,1.796908,
1777067604.417052,1.796908,
1777067605.418562,1.796908,
1777067605.418581,1.796908,
1777067605.418588,1.796908,
1777067605.418596,1.794212,
1777067605.418602,1.794212,
1777067605.418609,1.794212,
1777067605.418615,1.794212,
1777067606.417970,1.794212,
1777067606.417983,1.794212,
1777067606.418871,1.794212,
1777067606.418882,1.795111,
1777067606.418887,1.795111,
1777067606.418891,1.795111,
1777067606.418894,1.795111,
1777067607.418465,1.795111,
1777067607.418476,1.795111,
1777067607.418482,1.795111,
1777067607.419369,1.795111,
1777067607.419383,1.795111,
1777067607.419393,1.795111,
1777067607.419411,1.795111,
1777067608.418969,1.795111,
1777067608.418990,1.795111,
1777067608.418997,1.795111,
1777067608.419004,1.796009,
1777067608.419826,1.796009,
1777067608.419838,1.796009,
1777067608.419865,1.796009,
1777067609.419404,1.796009,
1777067609.419414,1.796009,
1777067609.419421,1.796009,
1777067609.419426,1.793312,
1777067609.419432,1.793312,
1777067609.419438,1.793312,
1777067609.420410,1.793312,
1777067610.420201,1.793312,
1777067610.420218,1.793312,
1777067610.420229,1.793312,
1777067610.420241,1.791061,
1777067610.420252,1.791061,
1777067610.420272,1.791061,
1777067610.420280,1.791061,
1777067611.419420,1.791061,
1777067611.419436,1.791061,
1777067611.420432,1.791061,
1777067611.420447,1.794212,
1777067611.420458,1.794212,
1777067611.420469,1.794212,
1777067611.420480,1.794212,
1777067612.420059,1.794212,
1777067612.420078,1.794212,
1777067612.420089,1.794212,
1777067612.420098,1.795111,
1777067612.420906,1.795111,
1777067612.420944,1.795111,
1777067612.420955,1.795111,
1777067613.420704,1.795111,
1777067613.420720,1.795111,
1777067613.420731,1.795111,
1777067613.420742,1.791511,
1777067613.420754,1.791511,
1777067613.420762,1.791511,
1777067613.421522,1.791511,
1777067614.422145,1.791511,
1777067614.422161,1.791511,
1777067614.422171,1.791511,
1777067614.422181,1.793312,
1777067614.422188,1.793312,
1777067614.423004,1.793312,
1777067614.423019,1.793312,
1777067615.422773,1.793312,
1777067615.422792,1.793312,
1777067615.422804,1.793312,
1777067615.422815,1.791511,
1777067615.422827,1.791511,
1777067615.422839,1.791511,
1777067615.422849,1.791511,
1777067616.425441,1.791511,
1777067616.425458,1.791511,
1777067616.425469,1.791511,
1777067616.426333,1.793762,
1777067616.426347,1.793762,
1777067616.426360,1.793762,
1777067616.426370,1.793762,
1777067617.425737,1.793762,
1777067617.425745,1.793762,
1777067617.425749,1.793762,
1777067617.425753,1.791962,
1777067617.425757,1.791962,
1777067617.425760,1.791962,
1777067617.426681,1.791962,
1777067618.426422,1.791962,
1777067618.426436,1.791962,
1777067618.426445,1.791962,
1777067618.426453,1.794212,
1777067618.426466,1.794212,
1777067618.426474,1.794212,
1777067618.426486,1.794212,
1777067619.426919,1.794212,
1777067619.426936,1.794212,
1777067619.426948,1.794212,
1777067619.426958,1.794661,
1777067619.426969,1.794661,
1777067619.426978,1.794661,
1777067619.426988,1.794661,
1777067620.426476,1.794661,
1777067620.426491,1.794661,
1777067620.426498,1.794661,
1777067620.426504,1.796009,
1777067620.426509,1.796009,
1777067620.427236,1.796009,
1777067620.427243,1.796009,
1777067621.426991,1.796009,
1777067621.426997,1.796009,
1777067621.427000,1.796009,
1777067621.427003,1.791511,
1777067621.427006,1.791511,
1777067621.427009,1.791511,
1777067621.427011,1.791511,
1777067622.426244,1.791511,
1777067622.427203,1.791511,
1777067622.427209,1.791511,
1777067622.427215,1.796458,
1777067622.427220,1.796458,
1777067622.427227,1.796458,
1777067622.427233,1.796458,
1777067623.426821,1.796458,
1777067623.426834,1.796458,
1777067623.426842,1.796458,
1777067623.427730,1.796458,
1777067623.427771,1.796458,
1777067623.427788,1.796458,
1777067623.427797,1.796458,
1777067624.427673,1.796458,
1777067624.427693,1.796458,
1777067624.427707,1.796458,
1777067624.427719,1.794212,
1777067624.427728,1.794212,
1777067624.427737,1.794212,
1777067624.428470,1.794212,
1777067625.427955,1.794212,
1777067625.427969,1.794212,
1777067625.427977,1.794212,
1777067625.427985,1.794212,
1777067625.427994,1.794212,
1777067625.428001,1.794212,
1777067625.428008,1.794212,
1777067626.428425,1.794212,
1777067626.428435,1.794212,
1777067626.428441,1.794212,
1777067626.428446,1.793312,
1777067626.428451,1.793312,
1777067626.428456,1.793312,
1777067626.428460,1.793312,
1777067627.427840,1.793312,
1777067627.427855,1.793312,
1777067627.428693,1.793312,
1777067627.428705,1.791511,
1777067627.428716,1.791511,
1777067627.428727,1.791511,
1777067627.428738,1.791511,
1777067628.428380,1.791511,
1777067628.428417,1.791511,
1777067628.428426,1.791511,
1777067628.428436,1.791511,
1777067628.429207,1.791511,
1777067628.429219,1.791511,
1777067628.429228,1.791511,
1777067629.428830,1.791511,
1777067629.428851,1.791511,
1777067629.428863,1.791511,
1777067629.428873,1.796009,
1777067629.428882,1.796009,
1777067629.429596,1.796009,
1777067629.429605,1.796009,
1777067630.429168,1.796009,
1777067630.429175,1.796009,
1777067630.429179,1.796009,
1777067630.429183,1.791511,
1777067630.429187,1.791511,
1777067630.429191,1.791511,
1777067630.429194,1.791511,
1777067631.428758,1.791511,
1777067631.429602,1.791511,
1777067631.429615,1.791511,
1777067631.429626,1.796009,
1777067631.429636,1.796009,
1777067631.429649,1.796009,
1777067631.429658,1.796009,
1777067632.431225,1.796009,
1777067632.431254,1.796009,
1777067632.431266,1.796009,
1777067632.431272,1.793762,
1777067632.432318,1.793762,
1777067632.432326,1.793762,
1777067632.432332,1.793762,
1777067633.431977,1.793762,
1777067633.431996,1.793762,
1777067633.432006,1.793762,
1777067633.432016,1.795560,
1777067633.432025,1.795560,
1777067633.432034,1.795560,
1777067633.432781,1.795560,
1777067634.432272,1.795560,
1777067634.432283,1.795560,
1777067634.432289,1.795560,
1777067634.432295,1.794212,
1777067634.432300,1.794212,
1777067634.432305,1.794212,
1777067634.432310,1.794212,
1777067635.431685,1.794212,
1777067635.431693,1.794212,
1777067635.432620,1.794212,
1777067635.432628,1.794212,
1777067635.432634,1.794212,
1777067635.432638,1.794212,
1777067635.432645,1.794212,
1777067636.432576,1.794212,
1777067636.432598,1.794212,
1777067636.432626,1.794212,
1777067636.432636,1.791511,
1777067636.432644,1.791511,
1777067636.434283,1.791511,
1777067636.434296,1.791511,
1777067637.432859,1.791511,
1777067637.432871,1.791511,
1777067637.432879,1.791511,
1777067637.432886,1.795560,
1777067637.432892,1.795560,
1777067637.432897,1.795560,
1777067637.432902,1.795560,
1777067638.432603,1.795560,
1777067638.432615,1.795560,
1777067638.434376,1.795560,
1777067638.434386,1.795560,
1777067638.434392,1.795560,
1777067638.434399,1.795560,
1777067638.434405,1.795560,
1777067639.432900,1.795560,
1777067639.432917,1.795560,
1777067639.432928,1.795560,
1777067639.432937,1.793312,
1777067639.433785,1.793312,
1777067639.433799,1.793312,
1777067639.433810,1.793312,
1777067640.433631,1.793312,
1777067640.433650,1.793312,
1777067640.433662,1.793312,
1777067640.433672,1.795111,
1777067640.433681,1.795111,
1777067640.433690,1.795111,
1777067640.433699,1.795111,
1777067641.434954,1.795111,
1777067641.435085,1.795111,
1777067641.435096,1.795111,
1777067641.435104,1.791061,
1777067641.435111,1.791061,
1777067641.436960,1.791061,
1777067641.436976,1.791061,
1777067642.435691,1.791061,
1777067642.435709,1.791061,
1777067642.435721,1.791061,
1777067642.435730,1.791511,
1777067642.435749,1.791511,
1777067642.435757,1.791511,
1777067642.435765,1.791511,
1777067643.438194,1.791511,
1777067643.438212,1.791511,
1777067643.438233,1.791511,
1777067643.438244,1.795560,
1777067643.438253,1.795560,
1777067643.438925,1.795560,
1777067643.438932,1.795560,
1777067644.438587,1.795560,
1777067644.438604,1.795560,
1777067644.438611,1.795560,
1777067644.438616,1.796908,
1777067644.438619,1.796908,
1777067644.438623,1.796908,
1777067644.438626,1.796908,
1777067645.438921,1.796908,
1777067645.438930,1.796908,
1777067645.438937,1.796908,
1777067645.438944,1.795560,
1777067645.438950,1.795560,
1777067645.438955,1.795560,
1777067645.438960,1.795560,
1777067646.439451,1.795560,
1777067646.439464,1.795560,
1777067646.439474,1.795560,
1777067646.439482,1.795111,
1777067646.439491,1.795111,
1777067646.439500,1.795111,
1777067646.439508,1.795111,
1777067647.440073,1.795111,
1777067647.440090,1.795111,
1777067647.440102,1.795111,
1777067647.440113,1.793762,
1777067647.440124,1.793762,
1777067647.440135,1.793762,
1777067647.440144,1.793762,
1777067648.439570,1.793762,
1777067648.439587,1.793762,
1777067648.439598,1.793762,
1777067648.439609,1.796009,
1777067648.439618,1.796009,
1777067648.439628,1.796009,
1777067648.440361,1.796009,
1777067649.439180,1.796009,
1777067649.439191,1.796009,
1777067649.439968,1.796009,
1777067649.439977,1.793312,
1777067649.439985,1.793312,
1777067649.439992,1.793312,
1777067649.440000,1.793312,
1777067650.439450,1.793312,
1777067650.439455,1.793312,
1777067650.439459,1.793312,
1777067650.439463,1.792862,
1777067650.440433,1.792862,
1777067650.440437,1.792862,
1777067650.440441,1.792862,
1777067651.441140,1.792862,
1777067651.441149,1.792862,
1777067651.441153,1.792862,
1777067651.441158,1.792862,
1777067651.441188,1.792862,
1777067651.441192,1.792862,
1777067651.441204,1.792862,
1777067652.440573,1.792862,
1777067652.440592,1.792862,
1777067652.440598,1.792862,
1777067652.440604,1.793762,
1777067652.440608,1.793762,
1777067652.440615,1.793762,
1777067652.440619,1.793762,
